Xcoords,Ycoords,ix,iy,Rotation
12822.7,1677.22,1,0,-260
13404.7,3276.2,2,0,-260
13986.7,4875.18,3,0,-260
11388.4,2199.28,1,1,-440
11970.4,3798.26,2,1,-440
12552.3,5397.24,3,1,-440
13134.3,6996.22,4,1,-440
13716.3,8595.2,5,1,-440
14298.3,10194.2,6,1,-440
9954.03,2721.34,1,2,-260
10536,4320.32,2,2,-260
11118,5919.3,3,2,-260
11700,7518.28,4,2,-260
12282,9117.26,5,2,-260
12863.9,10716.2,6,2,-260
13445.9,12315.2,7,2,-260
14027.9,13914.2,7,2,-260
7937.71,1644.42,0,3,-440
8519.69,3243.4,1,3,-440
9101.67,4842.38,2,3,-440
9683.65,6441.36,3,3,-440
10265.6,8040.34,4,3,-440
10847.6,9639.32,5,3,-440
11429.6,11238.3,6,3,-440
12011.6,12837.3,7,3,-440
12593.6,14436.3,7,3,-440
6503.36,2166.48,0,4,-260
7085.34,3765.46,1,4,-260
7667.32,5364.44,2,4,-260
8249.3,6963.42,3,4,-260
8831.28,8562.4,4,4,-260
9413.27,10161.4,5,4,-260
9995.25,11760.4,6,4,-260
10577.2,13359.3,7,4,-260
5069.01,2688.54,0,5,-440
5650.99,4287.52,1,5,-440
6232.98,5886.5,2,5,-440
6814.96,7485.48,3,5,-440
7396.94,9084.46,4,5,-440
7978.92,10683.4,5,5,-440
8560.9,12282.4,6,5,-440
9142.88,13881.4,7,5,-440
3052.68,1611.61,0,6,-260
3634.67,3210.6,0,6,-260
4216.65,4809.58,1,6,-260
4798.63,6408.56,2,6,-260
5380.61,8007.54,3,6,-260
5962.59,9606.52,4,6,-260
6544.57,11205.5,5,6,-260
7126.55,12804.5,6,6,-260
7708.54,14403.5,7,6,-260
1618.34,2133.67,0,7,-440
2200.32,3732.66,0,7,-440
2782.3,5331.64,1,7,-440
3364.28,6930.62,2,7,-440
3946.26,8529.6,3,7,-440
4528.24,10128.6,4,7,-440
5110.23,11727.6,5,7,-440
5692.21,13326.5,6,7,-440
1929.93,7452.68,2,8,-260
2511.92,9051.66,3,8,-260
3093.9,10650.6,4,8,-260
3675.88,12249.6,5,8,-260
4257.86,13848.6,6,8,-260
1659.55,11172.7,4,9,-440
2241.53,12771.7,5,9,-440
2823.51,14370.7,6,9,-440
